,ret_only,econ_data_only,both
USDJPY,0.3333333333333333,0.5555555555555556,0.6666666666666666
USDGBP,0.4,0.3076923076923077,0.46153846153846156
USDCHF,,,
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,,,
USDSEK,,,
USDEUR,0.625,0.5625,0.4375
JPYUSD,,,
JPYGBP,,,
JPYCHF,,,
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,,,
JPYSEK,,,
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.5,0.3333333333333333,0.5
GBPCHF,,,
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,,,
GBPSEK,,,
GBPEUR,0.4666666666666667,0.5384615384615384,0.46153846153846156
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,,,
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,,,
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,,,
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.5555555555555556,0.5555555555555556,0.4444444444444444
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,,,
EURSEK,,,
